Well,Well Name,Well Type,Threshold (dRn),Ct (dRn),Quantity (copies)
A1,H221,Unknown,0.2835,34.64,5.08E-02
A2,H221,Unknown,0.2835,35.02,3.79E-02
A3,H221,Unknown,0.2835,35.13,3.45E-02
B1,H239,Unknown,0.2835,34.82,4.43E-02
B2,H239,Unknown,0.2835,35.44,2.71E-02
B3,H239,Unknown,0.2835,33.8,9.87E-02
C1,H241,Unknown,0.2835,33.51,1.24E-01
C2,H241,Unknown,0.2835,33.3,1.46E-01
C3,H241,Unknown,0.2835,32.88,2.05E-01
D1,H249 1,Unknown,0.2835,36.01,1.73E-02
D2,H249 1,Unknown,0.2835,35.78,2.07E-02
D3,H249 1,Unknown,0.2835,35.31,2.99E-02
E1,H250 1,Unknown,0.2835,34.64,5.10E-02
E2,H250 1,Unknown,0.2835,35,3.83E-02
E3,H250 1,Unknown,0.2835,34.55,5.46E-02
F1,H256 a,Unknown,0.2835,31.9,4.45E-01
F2,H256 a,Unknown,0.2835,32.11,3.76E-01
F3,H256 a,Unknown,0.2835,31.53,5.94E-01
G1,H395,Unknown,0.2835,34.19,7.28E-02
G2,H395,Unknown,0.2835,33.94,8.83E-02
G3,H395,Unknown,0.2835,33.44,1.32E-01
H1,H406,Unknown,0.2835,33.08,1.75E-01
H2,H406,Unknown,0.2835,32.88,2.05E-01
H3,H406,Unknown,0.2835,32.98,1.88E-01
A4,H251 2,Unknown,0.2835,34.05,8.10E-02
A5,H251 2,Unknown,0.2835,34.65,5.07E-02
A6,H251 2,Unknown,0.2835,34.29,6.72E-02
B4,H400,Unknown,0.2835,30.38,1.47
B5,H400,Unknown,0.2835,30.53,1.31
B6,H400,Unknown,0.2835,30.49,1.35
C4,H404,Unknown,0.2835,33.53,1.23E-01
C5,H404,Unknown,0.2835,33.49,1.26E-01
C6,H404,Unknown,0.2835,34.02,8.30E-02
D4,H411,Unknown,0.2835,33.07,1.77E-01
D5,H411,Unknown,0.2835,32.53,2.70E-01
D6,H411,Unknown,0.2835,32.87,2.06E-01
E4,H420,Unknown,0.2835,26.48,3.19E+01
E5,H420,Unknown,0.2835,26.4,3.40E+01
E6,H420,Unknown,0.2835,26.41,3.38E+01
F4,H425,Unknown,0.2835,34.83,4.40E-02
F5,H425,Unknown,0.2835,34.18,7.31E-02
F6,H425,Unknown,0.2835,34.67,4.96E-02
G4,H427,Unknown,0.2835,33.65,1.12E-01
G5,H427,Unknown,0.2835,33.99,8.52E-02
G6,H427,Unknown,0.2835,34.1,7.80E-02
H4,H434,Unknown,0.2835,33.19,1.60E-01
H5,H434,Unknown,0.2835,33.26,1.51E-01
H6,H434,Unknown,0.2835,33.78,1.01E-01
A7,Total cDNA ,Standard,0.2835,30.52,0.00E+00
A8,Total cDNA ,Standard,0.2835,30.41,0.00E+00
A9,Total cDNA ,Standard,0.2835,30.66,0.00E+00
A10,Mir-127 REF,Unknown,0.2835,27.82,1.11E+01
A11,RNU24 REF,Unknown,0.2835,27.93,1.02E+01
A12,RNU 24 Plade Normalisator,Unknown,0.2835,No Ct,No Ct
B7,Total cDNA ,Standard,0.2835,31.43,5.00E-01
B8,Total cDNA ,Standard,0.2835,32.42,5.00E-01
B9,Total cDNA ,Standard,0.2835,31.75,5.00E-01
B10,Mir-127 REF,Unknown,0.2835,28.11,8.86
B11,RNU24 REF,Unknown,0.2835,27.87,1.07E+01
B12,RNU 24 Plade Normalisator,Unknown,0.2835,No Ct,No Ct
C7,Total cDNA ,Standard,0.2835,32.8,2.50E-01
C8,Total cDNA ,Standard,0.2835,32.52,2.50E-01
C9,Total cDNA ,Standard,0.2835,33.15,2.50E-01
C10,Mir-127 REF,Unknown,0.2835,27.64,1.28E+01
C11,RNU24 REF,Unknown,0.2835,27.72,1.20E+01
C12,RNU 24 Plade Normalisator,Unknown,0.2835,No Ct,No Ct
D7,Total cDNA ,Standard,0.2835,33.48,1.25E-01
D8,Total cDNA ,Standard,0.2835,33.58,1.25E-01
D9,Total cDNA ,Standard,0.2835,No Ct,1.25E-01
D10,Mir-127 REF,No RT,0.2835,No Ct,No Ct
D11,RNU24 REF,No RT,0.2835,No Ct,No Ct
D12,---,Not in Use,0.2835,,1.75E+10
E7,Total cDNA ,Standard,0.2835,34.78,6.25E-02
E8,Total cDNA ,Standard,0.2835,34.58,6.25E-02
E9,Total cDNA ,Standard,0.2835,34.58,6.25E-02
E10,Mir-127 REF,NTC,0.2835,No Ct,No Ct
E11,RNU24 REF,NTC,0.2835,No Ct,No Ct
E12,---,Not in Use,0.2835,,1.75E+10
F7,Total cDNA ,Standard,0.2835,35.23,3.13E-02
F8,Total cDNA ,Standard,0.2835,35.26,3.13E-02
F9,Total cDNA ,Standard,0.2835,35.49,3.13E-02
F10,---,Not in Use,0.2835,,1.75E+10
F11,---,Not in Use,0.2835,,1.75E+10
F12,---,Not in Use,0.2835,,1.75E+10
G7,Total cDNA ,Standard,0.2835,35.49,1.57E-02
G8,Total cDNA ,Standard,0.2835,36.69,1.57E-02
G9,Total cDNA ,Standard,0.2835,35.23,1.57E-02
G10,---,Not in Use,0.2835,,1.75E+10
G11,---,Not in Use,0.2835,,1.75E+10
G12,---,Not in Use,0.2835,,1.75E+10
H7,---,Not in Use,0.2835,,1.75E+10
H8,---,Not in Use,0.2835,,1.75E+10
H9,---,Not in Use,0.2835,,1.75E+10
H10,---,Not in Use,0.2835,,1.75E+10
H11,---,Not in Use,0.2835,,1.75E+10
H12,---,Not in Use,0.2835,,1.75E+10
