Well,Well Name,Well Type,Threshold (dRn),Ct (dRn),Quantity (copies)
A1,H221,Unknown,0.7709,35.25,4.14E-01
A2,H221,Unknown,0.7709,35.73,2.97E-01
A3,H221,Unknown,0.7709,35.6,3.24E-01
B1,H239,Unknown,0.7709,33.58,1.3
B2,H239,Unknown,0.7709,33.5,1.38
B3,H239,Unknown,0.7709,33.58,1.3
C1,H241,Unknown,0.7709,36.03,2.42E-01
C2,H241,Unknown,0.7709,35.89,2.65E-01
C3,H241,Unknown,0.7709,36,2.46E-01
D1,H249 1,Unknown,0.7709,36.03,2.42E-01
D2,H249 1,Unknown,0.7709,35.63,3.17E-01
D3,H249 1,Unknown,0.7709,35.67,3.09E-01
E1,H250 1,Unknown,0.7709,34.84,5.49E-01
E2,H250 1,Unknown,0.7709,34.99,4.95E-01
E3,H250 1,Unknown,0.7709,34.88,5.33E-01
F1,H256 a,Unknown,0.7709,35,4.91E-01
F2,H256 a,Unknown,0.7709,35.04,4.77E-01
F3,H256 a,Unknown,0.7709,34.82,5.53E-01
G1,H395,Unknown,0.7709,33.52,1.35
G2,H395,Unknown,0.7709,33.49,1.38
G3,H395,Unknown,0.7709,33.42,1.45
H1,H406,Unknown,0.7709,34.34,7.70E-01
H2,H406,Unknown,0.7709,34.12,8.99E-01
H3,H406,Unknown,0.7709,34.24,8.24E-01
A4,H251 2,Unknown,0.7709,36.37,1.91E-01
A5,H251 2,Unknown,0.7709,37.03,1.21E-01
A6,H251 2,Unknown,0.7709,36.7,1.52E-01
B4,H400,Unknown,0.7709,32.74,2.33
B5,H400,Unknown,0.7709,32.73,2.34
B6,H400,Unknown,0.7709,32.79,2.24
C4,H404,Unknown,0.7709,34.8,5.61E-01
C5,H404,Unknown,0.7709,34.37,7.53E-01
C6,H404,Unknown,0.7709,34.81,5.57E-01
D4,H411,Unknown,0.7709,34.69,6.07E-01
D5,H411,Unknown,0.7709,34.63,6.33E-01
D6,H411,Unknown,0.7709,35.26,4.09E-01
E4,H420,Unknown,0.7709,30.34,1.21E+01
E5,H420,Unknown,0.7709,30.27,1.27E+01
E6,H420,Unknown,0.7709,30.29,1.25E+01
F4,H425,Unknown,0.7709,36.88,1.34E-01
F5,H425,Unknown,0.7709,36.81,1.41E-01
F6,H425,Unknown,0.7709,36.57,1.67E-01
G4,H427,Unknown,0.7709,34.49,6.95E-01
G5,H427,Unknown,0.7709,34.52,6.81E-01
G6,H427,Unknown,0.7709,34.61,6.41E-01
H4,H434,Unknown,0.7709,35.93,2.59E-01
H5,H434,Unknown,0.7709,35.92,2.59E-01
H6,H434,Unknown,0.7709,35.51,3.44E-01
A7,Total cDNA ,Standard,0.7709,33.81,0.00E+00
A8,Total cDNA ,Standard,0.7709,33.95,0.00E+00
A9,Total cDNA ,Standard,0.7709,34.09,0.00E+00
A10,Mir-143 REF,Unknown,0.7709,26.49,1.71E+02
A11,RNU24 REF,Unknown,0.7709,30.24,1.30E+01
A12,RNU 24 Plade Normalisator,Unknown,0.7709,30.78,8.96
B7,Total cDNA ,Standard,0.7709,35.36,5.00E-01
B8,Total cDNA ,Standard,0.7709,35.06,5.00E-01
B9,Total cDNA ,Standard,0.7709,35.01,5.00E-01
B10,Mir-143 REF,Unknown,0.7709,26.92,1.27E+02
B11,RNU24 REF,Unknown,0.7709,30.4,1.16E+01
B12,RNU 24 Plade Normalisator,Unknown,0.7709,No Ct,No Ct
C7,Total cDNA ,Standard,0.7709,35.98,2.50E-01
C8,Total cDNA ,Standard,0.7709,36.05,2.50E-01
C9,Total cDNA ,Standard,0.7709,35.8,2.50E-01
C10,Mir-143 REF,Unknown,0.7709,26.45,1.76E+02
C11,RNU24 REF,Unknown,0.7709,30.07,1.46E+01
C12,RNU 24 Plade Normalisator,Unknown,0.7709,No Ct,No Ct
D7,Total cDNA ,Standard,0.7709,36.97,1.25E-01
D8,Total cDNA ,Standard,0.7709,37.07,1.25E-01
D9,Total cDNA ,Standard,0.7709,36.89,1.25E-01
D10,Mir-143 REF,No RT,0.7709,No Ct,No Ct
D11,RNU24 REF,No RT,0.7709,No Ct,No Ct
D12,---,Not in Use,0.7709,,7.13E+09
E7,Total cDNA ,Standard,0.7709,37.59,6.25E-02
E8,Total cDNA ,Standard,0.7709,37.45,6.25E-02
E9,Total cDNA ,Standard,0.7709,37.9,6.25E-02
E10,Mir-143 REF,NTC,0.7709,No Ct,No Ct
E11,RNU24 REF,NTC,0.7709,No Ct,No Ct
E12,---,Not in Use,0.7709,,7.13E+09
F7,Total cDNA ,Standard,0.7709,39.62,3.13E-02
F8,Total cDNA ,Standard,0.7709,38.77,3.13E-02
F9,Total cDNA ,Standard,0.7709,38.8,3.13E-02
F10,---,Not in Use,0.7709,,7.13E+09
F11,---,Not in Use,0.7709,,7.13E+09
F12,---,Not in Use,0.7709,,7.13E+09
G7,Total cDNA ,Standard,0.7709,40.66,1.57E-02
G8,Total cDNA ,Standard,0.7709,40.24,1.57E-02
G9,Total cDNA ,Standard,0.7709,39.59,1.57E-02
G10,---,Not in Use,0.7709,,7.13E+09
G11,---,Not in Use,0.7709,,7.13E+09
G12,---,Not in Use,0.7709,,7.13E+09
H7,---,Not in Use,0.7709,,7.13E+09
H8,---,Not in Use,0.7709,,7.13E+09
H9,---,Not in Use,0.7709,,7.13E+09
H10,---,Not in Use,0.7709,,7.13E+09
H11,---,Not in Use,0.7709,,7.13E+09
H12,---,Not in Use,0.7709,,7.13E+09
