Well,Well Name,Well Type,Threshold (dRn),Ct (dRn),Quantity (copies)
A1,H221,Unknown,0.0631,35.33,3.96E-01
A2,H221,Unknown,0.0631,34.95,4.86E-01
A3,H221,Unknown,0.0631,34.08,7.75E-01
B1,H239,Unknown,0.0631,33.38,1.13
B2,H239,Unknown,0.0631,33.27,1.2
B3,H239,Unknown,0.0631,32.81,1.54
C1,H241,Unknown,0.0631,40.81,2.07E-02
C2,H241,Unknown,0.0631,35.66,3.32E-01
C3,H241,Unknown,0.0631,36.83,1.77E-01
D1,H249 1,Unknown,0.0631,36.43,2.19E-01
D2,H249 1,Unknown,0.0631,34.97,4.80E-01
D3,H249 1,Unknown,0.0631,36.42,2.20E-01
E1,H250 1,Unknown,0.0631,34.15,7.46E-01
E2,H250 1,Unknown,0.0631,36.87,1.72E-01
E3,H250 1,Unknown,0.0631,35.37,3.88E-01
F1,H256 a,Unknown,0.0631,34.78,5.31E-01
F2,H256 a,Unknown,0.0631,34.65,5.69E-01
F3,H256 a,Unknown,0.0631,34.24,7.13E-01
G1,H395,Unknown,0.0631,33.06,1.34
G2,H395,Unknown,0.0631,33.36,1.14
G3,H395,Unknown,0.0631,33.72,9.41E-01
H1,H406,Unknown,0.0631,34.05,7.89E-01
H2,H406,Unknown,0.0631,35.18,4.28E-01
H3,H406,Unknown,0.0631,34.68,5.61E-01
A4,H251 2,Unknown,0.0631,36.73,1.87E-01
A5,H251 2,Unknown,0.0631,35.1,4.49E-01
A6,H251 2,Unknown,0.0631,36.08,2.64E-01
B4,H400,Unknown,0.0631,32.53,1.79
B5,H400,Unknown,0.0631,32.56,1.75
B6,H400,Unknown,0.0631,32.31,2.01
C4,H404,Unknown,0.0631,35.47,3.66E-01
C5,H404,Unknown,0.0631,34.49,6.21E-01
C6,H404,Unknown,0.0631,37.45,1.27E-01
D4,H411,Unknown,0.0631,33.96,8.28E-01
D5,H411,Unknown,0.0631,34.82,5.22E-01
D6,H411,Unknown,0.0631,34.46,6.33E-01
E4,H420,Unknown,0.0631,29.56,8.82
E5,H420,Unknown,0.0631,29.39,9.67
E6,H420,Unknown,0.0631,29.49,9.17
F4,H425,Unknown,0.0631,36.76,1.83E-01
F5,H425,Unknown,0.0631,36.49,2.12E-01
F6,H425,Unknown,0.0631,36.01,2.75E-01
G4,H427,Unknown,0.0631,33.81,8.97E-01
G5,H427,Unknown,0.0631,33.81,8.96E-01
G6,H427,Unknown,0.0631,33.94,8.37E-01
H4,H434,Unknown,0.0631,35.02,4.68E-01
H5,H434,Unknown,0.0631,34.96,4.83E-01
H6,H434,Unknown,0.0631,36.07,2.66E-01
A7,Total cDNA ,Standard,0.0631,33.58,0.00E+00
A8,Total cDNA ,Standard,0.0631,33.43,0.00E+00
A9,Total cDNA ,Standard,0.0631,33.53,0.00E+00
A10,Mir-143 REF,Unknown,0.0631,26.23,5.30E+01
A11,RNU24 REF,Unknown,0.0631,26.52,4.54E+01
A12,RNU 24 Plade Normalisator,Unknown,0.0631,25.42,8.21E+01
B7,Total cDNA ,Standard,0.0631,34.85,5.00E-01
B8,Total cDNA ,Standard,0.0631,33.64,5.00E-01
B9,Total cDNA ,Standard,0.0631,35.01,5.00E-01
B10,Mir-143 REF,Unknown,0.0631,26.29,5.13E+01
B11,RNU24 REF,Unknown,0.0631,26.1,5.68E+01
B12,RNU 24 Plade Normalisator,Unknown,0.0631,25.28,8.84E+01
C7,Total cDNA ,Standard,0.0631,36.56,2.50E-01
C8,Total cDNA ,Standard,0.0631,36.87,2.50E-01
C9,Total cDNA ,Standard,0.0631,35.08,2.50E-01
C10,Mir-143 REF,Unknown,0.0631,26.3,5.12E+01
C11,RNU24 REF,Unknown,0.0631,25.97,6.09E+01
C12,RNU 24 Plade Normalisator,Unknown,0.0631,25.14,9.55E+01
D7,Total cDNA ,Standard,0.0631,35.7,1.25E-01
D8,Total cDNA ,Standard,0.0631,No Ct,1.25E-01
D9,Total cDNA ,Standard,0.0631,35.91,1.25E-01
D10,Mir-143 REF,No RT,0.0631,No Ct,No Ct
D11,RNU24 REF,No RT,0.0631,No Ct,No Ct
D12,---,Not in Use,0.0631,,4.18E+07
E7,Total cDNA ,Standard,0.0631,42.36,6.25E-02
E8,Total cDNA ,Standard,0.0631,46.47,6.25E-02
E9,Total cDNA ,Standard,0.0631,35.97,6.25E-02
E10,Mir-143 REF,NTC,0.0631,No Ct,No Ct
E11,RNU24 REF,NTC,0.0631,No Ct,No Ct
E12,---,Not in Use,0.0631,,4.18E+07
F7,Total cDNA ,Standard,0.0631,No Ct,3.13E-02
F8,Total cDNA ,Standard,0.0631,39.98,3.13E-02
F9,Total cDNA ,Standard,0.0631,40.83,3.13E-02
F10,---,Not in Use,0.0631,,4.18E+07
F11,---,Not in Use,0.0631,,4.18E+07
F12,---,Not in Use,0.0631,,4.18E+07
G7,Total cDNA ,Standard,0.0631,No Ct,1.57E-02
G8,Total cDNA ,Standard,0.0631,36.93,1.57E-02
G9,Total cDNA ,Standard,0.0631,No Ct,1.57E-02
G10,---,Not in Use,0.0631,,4.18E+07
G11,---,Not in Use,0.0631,,4.18E+07
G12,---,Not in Use,0.0631,,4.18E+07
H7,---,Not in Use,0.0631,,4.18E+07
H8,---,Not in Use,0.0631,,4.18E+07
H9,---,Not in Use,0.0631,,4.18E+07
H10,---,Not in Use,0.0631,,4.18E+07
H11,---,Not in Use,0.0631,,4.18E+07
H12,---,Not in Use,0.0631,,4.18E+07
