Well,Well Name,Well Type,Threshold (dRn),Ct (dRn),Quantity (copies)
A1,H221,Unknown,0.0902,32.83,6.01E-02
A2,H221,Unknown,0.0902,33.04,5.33E-02
A3,H221,Unknown,0.0902,32.42,7.66E-02
B1,H239,Unknown,0.0902,30.13,2.89E-01
B2,H239,Unknown,0.0902,30.2,2.78E-01
B3,H239,Unknown,0.0902,30.13,2.89E-01
C1,H241,Unknown,0.0902,30.46,2.38E-01
C2,H241,Unknown,0.0902,30.54,2.28E-01
C3,H241,Unknown,0.0902,30.3,2.62E-01
D1,H249 1,Unknown,0.0902,33.09,5.18E-02
D2,H249 1,Unknown,0.0902,33.15,4.99E-02
D3,H249 1,Unknown,0.0902,32.61,6.85E-02
E1,H250 1,Unknown,0.0902,32.65,6.67E-02
E2,H250 1,Unknown,0.0902,32.56,7.06E-02
E3,H250 1,Unknown,0.0902,32.66,6.65E-02
F1,H256 a,Unknown,0.0902,29.8,3.50E-01
F2,H256 a,Unknown,0.0902,29.33,4.60E-01
F3,H256 a,Unknown,0.0902,29.59,3.95E-01
G1,H395,Unknown,0.0902,31.29,1.47E-01
G2,H395,Unknown,0.0902,31.14,1.61E-01
G3,H395,Unknown,0.0902,31.93,1.01E-01
H1,H406,Unknown,0.0902,30.65,2.14E-01
H2,H406,Unknown,0.0902,30.59,2.22E-01
H3,H406,Unknown,0.0902,30.82,1.93E-01
A4,H251 2,Unknown,0.0902,31.44,1.36E-01
A5,H251 2,Unknown,0.0902,31.39,1.40E-01
A6,H251 2,Unknown,0.0902,31.72,1.15E-01
B4,H400,Unknown,0.0902,28.45,7.67E-01
B5,H400,Unknown,0.0902,28.63,6.93E-01
B6,H400,Unknown,0.0902,28.45,7.69E-01
C4,H404,Unknown,0.0902,31.28,1.49E-01
C5,H404,Unknown,0.0902,31.01,1.73E-01
C6,H404,Unknown,0.0902,30.79,1.98E-01
D4,H411,Unknown,0.0902,30.77,1.99E-01
D5,H411,Unknown,0.0902,30.69,2.09E-01
D6,H411,Unknown,0.0902,30.66,2.12E-01
E4,H420,Unknown,0.0902,24.12,9.56
E5,H420,Unknown,0.0902,23.92,1.07E+01
E6,H420,Unknown,0.0902,24.19,9.16
F4,H425,Unknown,0.0902,32.76,6.27E-02
F5,H425,Unknown,0.0902,32.18,8.78E-02
F6,H425,Unknown,0.0902,32.39,7.80E-02
G4,H427,Unknown,0.0902,31.93,1.02E-01
G5,H427,Unknown,0.0902,31.47,1.33E-01
G6,H427,Unknown,0.0902,31.69,1.17E-01
H4,H434,Unknown,0.0902,30.99,1.75E-01
H5,H434,Unknown,0.0902,31.5,1.30E-01
H6,H434,Unknown,0.0902,31.53,1.28E-01
A7,Total cDNA ,Standard,0.0902,28.58,0.00E+00
A8,Total cDNA ,Standard,0.0902,28.23,0.00E+00
A9,Total cDNA ,Standard,0.0902,28.5,0.00E+00
A10,Mir-127 REF,Unknown,0.0902,24.78,6.49
A11,RNU24 REF,Unknown,0.0902,25.02,5.66
A12,RNU 24 Plade Normalisator,Unknown,0.0902,25.95,3.29
B7,Total cDNA ,Standard,0.0902,29.35,5.00E-01
B8,Total cDNA ,Standard,0.0902,29.33,5.00E-01
B9,Total cDNA ,Standard,0.0902,29.45,5.00E-01
B10,Mir-127 REF,Unknown,0.0902,24.93,5.96
B11,RNU24 REF,Unknown,0.0902,25.39,4.55
B12,RNU 24 Plade Normalisator,Unknown,0.0902,25.84,3.5
C7,Total cDNA ,Standard,0.0902,30.2,2.50E-01
C8,Total cDNA ,Standard,0.0902,29.87,2.50E-01
C9,Total cDNA ,Standard,0.0902,30.63,2.50E-01
C10,Mir-127 REF,Unknown,0.0902,24.55,7.41
C11,RNU24 REF,Unknown,0.0902,25.25,4.95
C12,RNU 24 Plade Normalisator,Unknown,0.0902,25.99,3.21
D7,Total cDNA ,Standard,0.0902,31.22,1.25E-01
D8,Total cDNA ,Standard,0.0902,31.01,1.25E-01
D9,Total cDNA ,Standard,0.0902,31.08,1.25E-01
D10,Mir-127 REF,No RT,0.0902,No Ct,No Ct
D11,RNU24 REF,No RT,0.0902,No Ct,No Ct
D12,---,Not in Use,0.0902,,6.59E+06
E7,Total cDNA ,Standard,0.0902,32.79,6.25E-02
E8,Total cDNA ,Standard,0.0902,32.66,6.25E-02
E9,Total cDNA ,Standard,0.0902,32.51,6.25E-02
E10,Mir-127 REF,NTC,0.0902,No Ct,No Ct
E11,RNU24 REF,NTC,0.0902,No Ct,No Ct
E12,---,Not in Use,0.0902,,6.59E+06
F7,Total cDNA ,Standard,0.0902,33.14,3.13E-02
F8,Total cDNA ,Standard,0.0902,32.22,3.13E-02
F9,Total cDNA ,Standard,0.0902,32.55,3.13E-02
F10,---,Not in Use,0.0902,,6.59E+06
F11,---,Not in Use,0.0902,,6.59E+06
F12,---,Not in Use,0.0902,,6.59E+06
G7,Total cDNA ,Standard,0.0902,39.82,1.57E-02
G8,Total cDNA ,Standard,0.0902,34.7,1.57E-02
G9,Total cDNA ,Standard,0.0902,35.22,1.57E-02
G10,---,Not in Use,0.0902,,6.59E+06
G11,---,Not in Use,0.0902,,6.59E+06
G12,---,Not in Use,0.0902,,6.59E+06
H7,---,Not in Use,0.0902,,6.59E+06
H8,---,Not in Use,0.0902,,6.59E+06
H9,---,Not in Use,0.0902,,6.59E+06
H10,---,Not in Use,0.0902,,6.59E+06
H11,---,Not in Use,0.0902,,6.59E+06
H12,---,Not in Use,0.0902,,6.59E+06
