Well,Well Name,Well Type,Threshold (dRn),Ct (dRn),Quantity (copies)
A1,H221,Unknown,0.5657,37.71,5.85E-02
A2,H221,Unknown,0.5657,36.59,1.37E-01
A3,H221,Unknown,0.5657,37.56,6.55E-02
B1,H239,Unknown,0.5657,40.69,5.97E-03
B2,H239,Unknown,0.5657,39.64,1.34E-02
B3,H239,Unknown,0.5657,40.01,1.01E-02
C1,H241,Unknown,0.5657,39.58,1.40E-02
C2,H241,Unknown,0.5657,37.26,8.20E-02
C3,H241,Unknown,0.5657,38.3,3.71E-02
D1,H249 1,Unknown,0.5657,37.68,5.96E-02
D2,H249 1,Unknown,0.5657,37.83,5.31E-02
D3,H249 1,Unknown,0.5657,38.43,3.37E-02
E1,H250 1,Unknown,0.5657,38.72,2.70E-02
E2,H250 1,Unknown,0.5657,37,1.01E-01
E3,H250 1,Unknown,0.5657,37.63,6.20E-02
F1,H256 a,Unknown,0.5657,34.76,5.57E-01
F2,H256 a,Unknown,0.5657,35.57,2.99E-01
F3,H256 a,Unknown,0.5657,35.14,4.17E-01
G1,H395,Unknown,0.5657,37.83,5.31E-02
G2,H395,Unknown,0.5657,36.78,1.19E-01
G3,H395,Unknown,0.5657,36.31,1.70E-01
H1,H406,Unknown,0.5657,35.56,3.02E-01
H2,H406,Unknown,0.5657,35.57,2.99E-01
H3,H406,Unknown,0.5657,36.35,1.65E-01
A4,H251 2,Unknown,0.5657,37.11,9.24E-02
A5,H251 2,Unknown,0.5657,36.41,1.58E-01
A6,H251 2,Unknown,0.5657,38.33,3.64E-02
B4,H400,Unknown,0.5657,33.53,1.42
B5,H400,Unknown,0.5657,33.45,1.51
B6,H400,Unknown,0.5657,32.93,2.25
C4,H404,Unknown,0.5657,36.95,1.04E-01
C5,H404,Unknown,0.5657,36.08,2.03E-01
C6,H404,Unknown,0.5657,35.38,3.45E-01
D4,H411,Unknown,0.5657,35.93,2.28E-01
D5,H411,Unknown,0.5657,35.39,3.45E-01
D6,H411,Unknown,0.5657,35.24,3.84E-01
E4,H420,Unknown,0.5657,29.6,2.85E+01
E5,H420,Unknown,0.5657,29.59,2.89E+01
E6,H420,Unknown,0.5657,29.57,2.93E+01
F4,H425,Unknown,0.5657,37.99,4.73E-02
F5,H425,Unknown,0.5657,37.36,7.61E-02
F6,H425,Unknown,0.5657,38.67,2.80E-02
G4,H427,Unknown,0.5657,37.57,6.47E-02
G5,H427,Unknown,0.5657,36.65,1.31E-01
G6,H427,Unknown,0.5657,37.74,5.71E-02
H4,H434,Unknown,0.5657,36,2.16E-01
H5,H434,Unknown,0.5657,35.4,3.41E-01
H6,H434,Unknown,0.5657,35.83,2.46E-01
A7,Total cDNA ,Standard,0.5657,33.75,0.00E+00
A8,Total cDNA ,Standard,0.5657,34.31,0.00E+00
A9,Total cDNA ,Standard,0.5657,33.74,0.00E+00
A10,Mir-127 REF,Unknown,0.5657,30.56,1.37E+01
A11,RNU24 REF,Unknown,0.5657,30.21,1.80E+01
A12,RNU 24 Plade Normalisator,Unknown,0.5657,29.24,3.77E+01
B7,Total cDNA ,Standard,0.5657,34.9,5.00E-01
B8,Total cDNA ,Standard,0.5657,34.51,5.00E-01
B9,Total cDNA ,Standard,0.5657,34.82,5.00E-01
B10,Mir-127 REF,Unknown,0.5657,30.97,1.00E+01
B11,RNU24 REF,Unknown,0.5657,30.09,1.97E+01
B12,RNU 24 Plade Normalisator,Unknown,0.5657,29.11,4.15E+01
C7,Total cDNA ,Standard,0.5657,35.09,2.50E-01
C8,Total cDNA ,Standard,0.5657,36.1,2.50E-01
C9,Total cDNA ,Standard,0.5657,36.2,2.50E-01
C10,Mir-127 REF,Unknown,0.5657,30.83,1.12E+01
C11,RNU24 REF,Unknown,0.5657,29.94,2.20E+01
C12,RNU 24 Plade Normalisator,Unknown,0.5657,29.01,4.48E+01
D7,Total cDNA ,Standard,0.5657,36.25,1.25E-01
D8,Total cDNA ,Standard,0.5657,35.75,1.25E-01
D9,Total cDNA ,Standard,0.5657,37.57,1.25E-01
D10,Mir-127 REF,No RT,0.5657,No Ct,No Ct
D11,RNU24 REF,No RT,0.5657,No Ct,No Ct
D12,---,Not in Use,0.5657,,8.77E+10
E7,Total cDNA ,Standard,0.5657,38.33,6.25E-02
E8,Total cDNA ,Standard,0.5657,38.94,6.25E-02
E9,Total cDNA ,Standard,0.5657,39.31,6.25E-02
E10,Mir-127 REF,NTC,0.5657,No Ct,No Ct
E11,RNU24 REF,NTC,0.5657,No Ct,No Ct
E12,---,Not in Use,0.5657,,8.77E+10
F7,Total cDNA ,Standard,0.5657,37.25,3.13E-02
F8,Total cDNA ,Standard,0.5657,37.85,3.13E-02
F9,Total cDNA ,Standard,0.5657,38.28,3.13E-02
F10,---,Not in Use,0.5657,,8.77E+10
F11,---,Not in Use,0.5657,,8.77E+10
F12,---,Not in Use,0.5657,,8.77E+10
G7,Total cDNA ,Standard,0.5657,40.3,1.57E-02
G8,Total cDNA ,Standard,0.5657,38.6,1.57E-02
G9,Total cDNA ,Standard,0.5657,39.15,1.57E-02
G10,---,Not in Use,0.5657,,8.77E+10
G11,---,Not in Use,0.5657,,8.77E+10
G12,---,Not in Use,0.5657,,8.77E+10
H7,---,Not in Use,0.5657,,8.77E+10
H8,---,Not in Use,0.5657,,8.77E+10
H9,---,Not in Use,0.5657,,8.77E+10
H10,---,Not in Use,0.5657,,8.77E+10
H11,---,Not in Use,0.5657,,8.77E+10
H12,---,Not in Use,0.5657,,8.77E+10
