Well,Well Name,Well Type,Threshold (dRn),Ct (dRn),Quantity (copies)
A1,H221,Unknown,0.2824,28.09,1.98
A2,H221,Unknown,0.2824,27.94,2.17
A3,H221,Unknown,0.2824,27.87,2.27
A4,H251 2,Unknown,0.2824,28.61,1.44
A5,H251 2,Unknown,0.2824,28.85,1.23
A6,H251 2,Unknown,0.2824,29.24,9.66E-01
A7,Total cDNA ,Standard,0.2824,28.99,0.00E+00
A8,Total cDNA ,Standard,0.2824,29.11,0.00E+00
A9,Total cDNA ,Standard,0.2824,29.02,0.00E+00
A10,RNU24 REF,Unknown,0.2824,27.82,2.33
A11,RNU24 REF,Unknown,0.2824,27.92,2.2
A12,RNU 24 Plade Normalisator,Unknown,0.2824,27.91,2.21
B1,H239,Unknown,0.2824,28.71,1.35
B2,H239,Unknown,0.2824,28.62,1.43
B3,H239,Unknown,0.2824,28.54,1.5
B4,H400,Unknown,0.2824,28.21,1.84
B5,H400,Unknown,0.2824,28.11,1.96
B6,H400,Unknown,0.2824,28.35,1.69
B7,Total cDNA ,Standard,0.2824,30.46,5.00E-01
B8,Total cDNA ,Standard,0.2824,30.41,5.00E-01
B9,Total cDNA ,Standard,0.2824,30.47,5.00E-01
B10,RNU24 REF,Unknown,0.2824,27.95,2.15
B11,RNU24 REF,Unknown,0.2824,27.89,2.24
B12,RNU 24 Plade Normalisator,Unknown,0.2824,27.89,2.24
C1,H241,Unknown,0.2824,28.96,1.16
C2,H241,Unknown,0.2824,28.88,1.21
C3,H241,Unknown,0.2824,28.82,1.26
C4,H404,Unknown,0.2824,30.95,3.35E-01
C5,H404,Unknown,0.2824,30.74,3.81E-01
C6,H404,Unknown,0.2824,30.84,3.59E-01
C7,Total cDNA ,Standard,0.2824,31.28,2.50E-01
C8,Total cDNA ,Standard,0.2824,31.37,2.50E-01
C9,Total cDNA ,Standard,0.2824,31.48,2.50E-01
C10,RNU24 REF,Unknown,0.2824,27.87,2.27
C11,RNU24 REF,Unknown,0.2824,27.69,2.54
C12,RNU 24 Plade Normalisator,Unknown,0.2824,27.89,2.24
D1,H249 1,Unknown,0.2824,28.2,1.85
D2,H249 1,Unknown,0.2824,28.13,1.93
D3,H249 1,Unknown,0.2824,28.25,1.8
D4,H411,Unknown,0.2824,27.66,2.58
D5,H411,Unknown,0.2824,27.64,2.62
D6,H411,Unknown,0.2824,27.71,2.51
D7,Total cDNA ,Standard,0.2824,32.89,1.25E-01
D8,Total cDNA ,Standard,0.2824,32.76,1.25E-01
D9,Total cDNA ,Standard,0.2824,32.43,1.25E-01
D10,RNU24 REF,No RT,0.2824,No Ct,No Ct
D11,RNU24 REF,No RT,0.2824,No Ct,No Ct
D12,---,Not in Use,0.2824,,4.01E+07
E1,H250 1,Unknown,0.2824,28.3,1.74
E2,H250 1,Unknown,0.2824,28.22,1.83
E3,H250 1,Unknown,0.2824,28.43,1.61
E4,H420,Unknown,0.2824,29.9,6.42E-01
E5,H420,Unknown,0.2824,29.9,6.42E-01
E6,H420,Unknown,0.2824,29.92,6.36E-01
E7,Total cDNA ,Standard,0.2824,33.47,6.25E-02
E8,Total cDNA ,Standard,0.2824,33.66,6.25E-02
E9,Total cDNA ,Standard,0.2824,33.52,6.25E-02
E10,RNU24 REF,NTC,0.2824,No Ct,No Ct
E11,RNU24 REF,NTC,0.2824,No Ct,No Ct
E12,---,Not in Use,0.2824,,4.01E+07
F1,H256 a,Unknown,0.2824,28.46,1.57
F2,H256 a,Unknown,0.2824,28.47,1.56
F3,H256 a,Unknown,0.2824,28.41,1.62
F4,H425,Unknown,0.2824,31.33,2.64E-01
F5,H425,Unknown,0.2824,31.32,2.66E-01
F6,H425,Unknown,0.2824,31.34,2.64E-01
F7,Total cDNA ,Standard,0.2824,34.89,3.13E-02
F8,Total cDNA ,Standard,0.2824,34.81,3.13E-02
F9,Total cDNA ,Standard,0.2824,34.95,3.13E-02
F10,---,Not in Use,0.2824,,4.01E+07
F11,---,Not in Use,0.2824,,4.01E+07
F12,---,Not in Use,0.2824,,4.01E+07
G1,H395,Unknown,0.2824,28.68,1.37
G2,H395,Unknown,0.2824,28.38,1.66
G3,H395,Unknown,0.2824,28.36,1.67
G4,H427,Unknown,0.2824,29.75,7.06E-01
G5,H427,Unknown,0.2824,29.53,8.11E-01
G6,H427,Unknown,0.2824,29.64,7.55E-01
G7,Total cDNA ,Standard,0.2824,35.57,1.57E-02
G8,Total cDNA ,Standard,0.2824,35.84,1.57E-02
G9,Total cDNA ,Standard,0.2824,35.91,1.57E-02
G10,---,Not in Use,0.2824,,4.01E+07
G11,---,Not in Use,0.2824,,4.01E+07
G12,---,Not in Use,0.2824,,4.01E+07
H1,H406,Unknown,0.2824,28.11,1.95
H2,H406,Unknown,0.2824,27.91,2.22
H3,H406,Unknown,0.2824,27.89,2.24
H4,H434,Unknown,0.2824,28.61,1.43
H5,H434,Unknown,0.2824,28.38,1.66
H6,H434,Unknown,0.2824,28.3,1.74
H7,---,Not in Use,0.2824,,4.01E+07
H8,---,Not in Use,0.2824,,4.01E+07
H9,---,Not in Use,0.2824,,4.01E+07
H10,---,Not in Use,0.2824,,4.01E+07
H11,---,Not in Use,0.2824,,4.01E+07
H12,---,Not in Use,0.2824,,4.01E+07
