Well,Well Name,Well Type,Threshold (dRn),Ct (dRn),Quantity (copies)
A1,H221,Unknown,0.8626,36.56,4.47E-02
A2,H221,Unknown,0.8626,36.94,3.37E-02
A3,H221,Unknown,0.8626,36.53,4.54E-02
B1,H239,Unknown,0.8626,34.51,1.97E-01
B2,H239,Unknown,0.8626,34.2,2.48E-01
B3,H239,Unknown,0.8626,34.78,1.63E-01
C1,H241,Unknown,0.8626,34.96,1.43E-01
C2,H241,Unknown,0.8626,34.79,1.61E-01
C3,H241,Unknown,0.8626,34.61,1.83E-01
D1,H249 1,Unknown,0.8626,36.75,3.88E-02
D2,H249 1,Unknown,0.8626,37.2,2.80E-02
D3,H249 1,Unknown,0.8626,37.21,2.78E-02
E1,H250 1,Unknown,0.8626,37.98,1.59E-02
E2,H250 1,Unknown,0.8626,36.04,6.50E-02
E3,H250 1,Unknown,0.8626,36.52,4.58E-02
F1,H256 a,Unknown,0.8626,33.43,4.33E-01
F2,H256 a,Unknown,0.8626,33.34,4.62E-01
F3,H256 a,Unknown,0.8626,33.41,4.38E-01
G1,H395,Unknown,0.8626,35.68,8.42E-02
G2,H395,Unknown,0.8626,36.38,5.06E-02
G3,H395,Unknown,0.8626,35.4,1.04E-01
H1,H406,Unknown,0.8626,34.51,1.98E-01
H2,H406,Unknown,0.8626,34.66,1.77E-01
H3,H406,Unknown,0.8626,34.77,1.63E-01
A4,H251 2,Unknown,0.8626,35.57,9.17E-02
A5,H251 2,Unknown,0.8626,35.35,1.07E-01
A6,H251 2,Unknown,0.8626,35.98,6.77E-02
B4,H400,Unknown,0.8626,32.64,7.69E-01
B5,H400,Unknown,0.8626,32.47,8.71E-01
B6,H400,Unknown,0.8626,32.42,9.00E-01
C4,H404,Unknown,0.8626,34.9,1.49E-01
C5,H404,Unknown,0.8626,35.02,1.37E-01
C6,H404,Unknown,0.8626,35.59,9.02E-02
D4,H411,Unknown,0.8626,34.8,1.61E-01
D5,H411,Unknown,0.8626,34.7,1.73E-01
D6,H411,Unknown,0.8626,34.88,1.51E-01
E4,H420,Unknown,0.8626,28.06,2.14E+01
E5,H420,Unknown,0.8626,28.28,1.83E+01
E6,H420,Unknown,0.8626,28.04,2.17E+01
F4,H425,Unknown,0.8626,36.48,4.72E-02
F5,H425,Unknown,0.8626,36.68,4.08E-02
F6,H425,Unknown,0.8626,36.7,4.02E-02
G4,H427,Unknown,0.8626,36.05,6.46E-02
G5,H427,Unknown,0.8626,35.59,8.98E-02
G6,H427,Unknown,0.8626,35.56,9.22E-02
H4,H434,Unknown,0.8626,35.53,9.41E-02
H5,H434,Unknown,0.8626,35.64,8.70E-02
H6,H434,Unknown,0.8626,35.18,1.21E-01
A7,Total cDNA ,Standard,0.8626,32.18,0.00E+00
A8,Total cDNA ,Standard,0.8626,32.27,0.00E+00
A9,Total cDNA ,Standard,0.8626,32.04,0.00E+00
A10,Mir-127 REF,Unknown,0.8626,29.9,5.66
A11,RNU24 REF,Unknown,0.8626,31.4,1.89
A12,RNU 24 Plade Normalisator,Unknown,0.8626,31.07,2.42
B7,Total cDNA ,Standard,0.8626,33.25,5.00E-01
B8,Total cDNA ,Standard,0.8626,33.5,5.00E-01
B9,Total cDNA ,Standard,0.8626,33.36,5.00E-01
B10,Mir-127 REF,Unknown,0.8626,29.74,6.34
B11,RNU24 REF,Unknown,0.8626,31.03,2.47
B12,RNU 24 Plade Normalisator,Unknown,0.8626,30.8,2.93
C7,Total cDNA ,Standard,0.8626,34.25,2.50E-01
C8,Total cDNA ,Standard,0.8626,34.19,2.50E-01
C9,Total cDNA ,Standard,0.8626,34,2.50E-01
C10,Mir-127 REF,Unknown,0.8626,29.62,6.93
C11,RNU24 REF,Unknown,0.8626,31.44,1.84
C12,RNU 24 Plade Normalisator,Unknown,0.8626,30.7,3.14
D7,Total cDNA ,Standard,0.8626,35.22,1.25E-01
D8,Total cDNA ,Standard,0.8626,35.86,1.25E-01
D9,Total cDNA ,Standard,0.8626,34.97,1.25E-01
D10,Mir-127 REF,No RT,0.8626,No Ct,No Ct
D11,RNU24 REF,No RT,0.8626,No Ct,No Ct
D12,---,Not in Use,0.8626,,7.53E+09
E7,Total cDNA ,Standard,0.8626,36.52,6.25E-02
E8,Total cDNA ,Standard,0.8626,36.05,6.25E-02
E9,Total cDNA ,Standard,0.8626,35.38,6.25E-02
E10,Mir-127 REF,NTC,0.8626,No Ct,No Ct
E11,RNU24 REF,NTC,0.8626,No Ct,No Ct
E12,---,Not in Use,0.8626,,7.53E+09
F7,Total cDNA ,Standard,0.8626,36.72,3.13E-02
F8,Total cDNA ,Standard,0.8626,37.45,3.13E-02
F9,Total cDNA ,Standard,0.8626,36.21,3.13E-02
F10,---,Not in Use,0.8626,,7.53E+09
F11,---,Not in Use,0.8626,,7.53E+09
F12,---,Not in Use,0.8626,,7.53E+09
G7,Total cDNA ,Standard,0.8626,37.91,1.57E-02
G8,Total cDNA ,Standard,0.8626,38.71,1.57E-02
G9,Total cDNA ,Standard,0.8626,37.88,1.57E-02
G10,---,Not in Use,0.8626,,7.53E+09
G11,---,Not in Use,0.8626,,7.53E+09
G12,---,Not in Use,0.8626,,7.53E+09
H7,---,Not in Use,0.8626,,7.53E+09
H8,---,Not in Use,0.8626,,7.53E+09
H9,---,Not in Use,0.8626,,7.53E+09
H10,---,Not in Use,0.8626,,7.53E+09
H11,---,Not in Use,0.8626,,7.53E+09
H12,---,Not in Use,0.8626,,7.53E+09
