Well,Well Name,Well Type,Threshold (dRn),Ct (dRn),Quantity (copies)
A1,H221,Unknown,0.0707,30.96,3.72E-01
A2,H221,Unknown,0.0707,30.92,3.81E-01
A3,H221,Unknown,0.0707,30.75,4.31E-01
B1,H239,Unknown,0.0707,32.59,1.15E-01
B2,H239,Unknown,0.0707,31.5,2.51E-01
B3,H239,Unknown,0.0707,31.87,1.92E-01
C1,H241,Unknown,0.0707,31.18,3.18E-01
C2,H241,Unknown,0.0707,31.47,2.56E-01
C3,H241,Unknown,0.0707,31.51,2.49E-01
D1,H249 1,Unknown,0.0707,31.12,3.30E-01
D2,H249 1,Unknown,0.0707,31.34,2.83E-01
D3,H249 1,Unknown,0.0707,31.23,3.06E-01
E1,H250 1,Unknown,0.0707,30.82,4.12E-01
E2,H250 1,Unknown,0.0707,30.81,4.15E-01
E3,H250 1,Unknown,0.0707,30.99,3.64E-01
F1,H256 a,Unknown,0.0707,31.08,3.40E-01
F2,H256 a,Unknown,0.0707,31.13,3.29E-01
F3,H256 a,Unknown,0.0707,31,3.62E-01
G1,H395,Unknown,0.0707,29.09,1.44
G2,H395,Unknown,0.0707,28.8,1.77
G3,H395,Unknown,0.0707,29.15,1.38
H1,H406,Unknown,0.0707,29.53,1.05
H2,H406,Unknown,0.0707,29.68,9.38E-01
H3,H406,Unknown,0.0707,29.7,9.23E-01
A4,H251 2,Unknown,0.0707,31.81,2.00E-01
A5,H251 2,Unknown,0.0707,31.98,1.78E-01
A6,H251 2,Unknown,0.0707,31.81,2.01E-01
B4,H400,Unknown,0.0707,28.64,1.99
B5,H400,Unknown,0.0707,28.63,2.01
B6,H400,Unknown,0.0707,28.91,1.64
C4,H404,Unknown,0.0707,30.4,5.57E-01
C5,H404,Unknown,0.0707,30.57,4.91E-01
C6,H404,Unknown,0.0707,30.59,4.85E-01
D4,H411,Unknown,0.0707,30.67,4.58E-01
D5,H411,Unknown,0.0707,30.7,4.49E-01
D6,H411,Unknown,0.0707,30.3,5.98E-01
E4,H420,Unknown,0.0707,26.1,1.25E+01
E5,H420,Unknown,0.0707,25.79,1.56E+01
E6,H420,Unknown,0.0707,26.11,1.24E+01
F4,H425,Unknown,0.0707,32.2,1.51E-01
F5,H425,Unknown,0.0707,31.96,1.80E-01
F6,H425,Unknown,0.0707,32.39,1.32E-01
G4,H427,Unknown,0.0707,30.64,4.67E-01
G5,H427,Unknown,0.0707,30.1,6.90E-01
G6,H427,Unknown,0.0707,30.46,5.31E-01
H4,H434,Unknown,0.0707,31.01,3.59E-01
H5,H434,Unknown,0.0707,30.99,3.64E-01
H6,H434,Unknown,0.0707,30.7,4.48E-01
A7,Total cDNA ,Standard,0.0707,29.48,0.00E+00
A8,Total cDNA ,Standard,0.0707,29.4,0.00E+00
A9,Total cDNA ,Standard,0.0707,29.47,0.00E+00
A10,Mir-143 REF,Unknown,0.0707,21.74,2.93E+02
A11,RNU24 REF,Unknown,0.0707,25.52,1.90E+01
A12,RNU 24 Plade Normalisator,Unknown,0.0707,25.74,1.62E+01
B7,Total cDNA ,Standard,0.0707,30.83,5.00E-01
B8,Total cDNA ,Standard,0.0707,30.59,5.00E-01
B9,Total cDNA ,Standard,0.0707,30.45,5.00E-01
B10,Mir-143 REF,Unknown,0.0707,22.51,1.68E+02
B11,RNU24 REF,Unknown,0.0707,25.52,1.90E+01
B12,RNU 24 Plade Normalisator,Unknown,0.0707,25.93,1.41E+01
C7,Total cDNA ,Standard,0.0707,31.33,2.50E-01
C8,Total cDNA ,Standard,0.0707,31.67,2.50E-01
C9,Total cDNA ,Standard,0.0707,31.58,2.50E-01
C10,Mir-143 REF,Unknown,0.0707,21.74,2.91E+02
C11,RNU24 REF,Unknown,0.0707,25.34,2.15E+01
C12,RNU 24 Plade Normalisator,Unknown,0.0707,25.85,1.50E+01
D7,Total cDNA ,Standard,0.0707,32.79,1.25E-01
D8,Total cDNA ,Standard,0.0707,32.45,1.25E-01
D9,Total cDNA ,Standard,0.0707,32.41,1.25E-01
D10,Mir-143 REF,No RT,0.0707,No Ct,No Ct
D11,RNU24 REF,No RT,0.0707,No Ct,No Ct
D12,---,Not in Use,0.0707,,9.57E+08
E7,Total cDNA ,Standard,0.0707,33.37,6.25E-02
E8,Total cDNA ,Standard,0.0707,33.12,6.25E-02
E9,Total cDNA ,Standard,0.0707,32.98,6.25E-02
E10,Mir-143 REF,NTC,0.0707,No Ct,No Ct
E11,RNU24 REF,NTC,0.0707,No Ct,No Ct
E12,---,Not in Use,0.0707,,9.57E+08
F7,Total cDNA ,Standard,0.0707,35.96,3.13E-02
F8,Total cDNA ,Standard,0.0707,34.34,3.13E-02
F9,Total cDNA ,Standard,0.0707,34.77,3.13E-02
F10,---,Not in Use,0.0707,,9.57E+08
F11,---,Not in Use,0.0707,,9.57E+08
F12,---,Not in Use,0.0707,,9.57E+08
G7,Total cDNA ,Standard,0.0707,35.54,1.57E-02
G8,Total cDNA ,Standard,0.0707,33.87,1.57E-02
G9,Total cDNA ,Standard,0.0707,35.34,1.57E-02
G10,---,Not in Use,0.0707,,9.57E+08
G11,---,Not in Use,0.0707,,9.57E+08
G12,---,Not in Use,0.0707,,9.57E+08
H7,---,Not in Use,0.0707,,9.57E+08
H8,---,Not in Use,0.0707,,9.57E+08
H9,---,Not in Use,0.0707,,9.57E+08
H10,---,Not in Use,0.0707,,9.57E+08
H11,---,Not in Use,0.0707,,9.57E+08
H12,---,Not in Use,0.0707,,9.57E+08
